"","nace_r2","nace_r2_lab"
"199","N772","Renting and leasing of personal and household goods"
"200","N773","Renting and leasing of other machinery, equipment and tangible goods"
"201","N774","Leasing of intellectual property and similar products, except copyrighted works"
"202","N781","Activities of employment placement agencies"
"203","N782","Temporary employment agency activities"
"204","N783","Other human resources provision"
"205","N791","Travel agency and tour operator activities"
"206","N799","Other reservation service and related activities"
"207","N801","Private security activities"
"208","N802","Security systems service activities"
"209","N803","Investigation activities"
"210","N811","Combined facilities support activities"
"211","N812","Cleaning activities"
"212","N813","Landscape service activities"
"213","N821","Office administrative and support activities"
"214","N822","Activities of call centres"
"215","N823","Organisation of conventions and trade shows"
"216","N829","Business support service activities n.e.c."
"217","S951","Repair of computers and communication equipment"
"218","S952","Repair of personal and household goods"
