,Y02A  10,Y02A  20,Y02A  30,Y02A  40,Y02A  50,Y02A  90,Y02B  10,Y02B  20,Y02B  30,Y02B  40,Y02B  50,Y02B  60,Y02B  70,Y02B  80,Y02B  90,Y02C  10,Y02C  20,Y02D  10,Y02D  30,Y02D  50,Y02D  70,Y02E  10,Y02E  20,Y02E  30,Y02E  40,Y02E  50,Y02E  60,Y02E  70,Y02P  10,Y02P  20,Y02P  30,Y02P  40,Y02P  60,Y02P  70,Y02P  80,Y02P  90,Y02T  10,Y02T  30,Y02T  50,Y02T  70,Y02T  90,Y02W  10,Y02W  30,Y02W  90,Y04S  10,Y04S  20,Y04S  30,Y04S  40,Y04S  50
JPN,0.0,9.0,4.45,8.833333333333332,43.61666666666667,6.0,3.0,23.33333333333333,31.0,3.0,0.0,0.0,13.892857142857142,2.25,4.625,0.0,7.0,14.333333333333334,49.33333333333333,0.0,0.0,61.58333333333334,16.033333333333335,10.5,4.476190476190476,8.666666666666666,355.43452380952385,0.25,24.833333333333332,85.03333333333333,0.0,22.166666666666664,0.3333333333333333,84.36111111111111,2.9166666666666665,39.5,340.3530303030303,3.5,16.11111111111111,0.0,20.0,10.333333333333332,39.99999999999999,3.333333333333333,1.6428571428571428,2.892857142857143,0.0,7.059523809523809,1.6428571428571428
KOR,1.0,0.0,0.0,3.0,9.0,0.0,0.0,2.0,16.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,11.5,0.0,0.0,0.0,1.0,2.5,1.0,0.0,26.861111111111114,0.0,2.5,4.5,1.0,5.0,3.0,2.2777777777777772,2.0,0.0,3.5,1.0,0.3333333333333333,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0
LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1666666666666666,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEX,0.0,0.0,0.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,0.5,1.0,0.8333333333333333,14.166666666666666,9.933333333333334,1.0,1.8333333333333333,16.5,8.466666666666667,0.0,0.0,0.0,3.333333333333333,0.5,0.3333333333333333,0.0,6.5,9.333333333333332,8.333333333333332,0.0,0.0,14.75,1.0833333333333333,0.0,0.0,2.388888888888889,6.716666666666666,0.0,5.666666666666666,8.633333333333333,1.8333333333333333,0.5,0.5,7.5,1.0,1.0,5.333333333333333,0.0,2.75,1.5,1.0,2.333333333333333,2.6666666666666665,0.0,0.5,0.0,0.0,0.0,0.5
