Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BDI,435.07095216429,447.744866655482,440.591865997594,427.069006953007,408.419324767261,354.116188317819,325.911923205532,321.089697436829,330.128937617936,319.135807463689,310.006717445271,308.645205525339,313.48641246114,300.08615927331,303.119676379338,294.738779574325,299.769127113982,298.936666697659,300.841355556775,296.847101103543,297.791733344868,299.017181942676,301.481325624037,305.290841647852,307.7655377624,289.359633280865,282.97597252123,277.959808886935,274.131914225904,270.137283068899,263.360994217959,261.019379649372
BEL,29441.6621481593,29870.1477747077,30204.5637515713,29797.4063198776,30664.3078546408,31329.892072751,31681.9363634502,32804.3605402361,33376.5748398965,34479.9064484695,35674.7912530713,35943.2379602838,36393.2417665704,36617.3803840227,37761.2813189981,38426.0519083731,39147.7635597291,40290.2277563956,40151.8498740394,39025.2207908291,39777.9252767366,39929.0951439359,39975.5736402458,39970.3174974794,40421.4207919096,41008.296719472,41318.0196388476,41825.7628316432,42382.3182763247,43098.4847198889,40612.3924560653,42901.4320595797
BEN,771.075863965365,779.42330901907,778.255268210287,787.819118694945,774.262921871835,804.350332973378,817.849735178736,839.951696664462,847.074487472915,865.452562467544,888.730184630456,908.347702993924,922.417638739897,925.849261137374,938.038178110099,924.269524085128,931.769140879746,959.554993466476,977.303163181215,970.965968934136,962.81610952575,962.744589699526,980.074613212475,1020.5282340508,1054.10876660988,1041.65252315983,1045.15093657582,1072.36196622086,1111.22724012241,1153.72620998083,1164.70594618082,1214.07758989944
BFA,333.171593721047,354.321887198752,346.507267858578,349.701974920549,345.481701459816,355.987939904622,385.229198600789,399.18499842626,416.741698285898,434.658390764779,429.847370767246,444.549753381326,449.853929682863,470.129580953624,476.009979260533,501.207248459817,516.17676592292,521.345257442472,535.583642871635,535.516832716516,563.926774809784,583.679475137062,602.786756797231,618.804581138848,626.626248676985,632.12668368394,650.417258700266,671.251794002939,696.04456847617,716.012194964082,710.471352680813,739.672722391506
BGD,493.095339175717,500.494090356991,518.110123736839,532.25300756987,542.454739818669,559.689533173764,574.836130139595,590.00310757549,609.013891873436,625.364191999067,646.038112667217,666.068115355489,678.867875857178,698.732463273709,723.228229370514,758.890383408774,799.781907040519,847.282406222322,890.296648425188,927.018587921344,967.561603724016,1017.62828088402,1070.5957425395,1120.68594020214,1173.89363446619,1236.00506049059,1307.73303467616,1376.60420794304,1460.30501692162,1557.96529123717,1593.3483212523,1684.43438995348
BGR,4427.01071363047,4093.47667850379,3836.76395475034,3810.24372212006,3892.71107002069,4021.96452989335,4253.20220185448,3675.15273864966,3839.94747773847,3537.31842905104,3717.90048242716,3937.67150224538,4260.37221454478,4519.14992092151,4849.83439967398,5231.29820427443,5629.75831393618,6048.69609187226,6464.67265403586,6288.67740963612,6427.81006212601,6605.08982045823,6693.61236429071,6693.45015260161,6796.68911922266,7074.68102325059,7341.04761379451,7599.12495683519,7859.6921556743,8234.83966944834,7956.46908962689,8633.98229147066
BHR,17405.8852025117,18709.7957397915,19275.4814977002,21024.9686175308,20283.0874092638,20403.3705327835,20576.5153881187,20566.5570149467,20915.8334128566,21195.9007780378,21713.5380502274,21681.0282978646,21866.0492284432,22348.9048094348,22325.7030750547,22027.331306682,21783.8515343462,22013.7584157719,21918.0050610342,21157.7934203336,21452.9215198243,21906.7464253804,22484.8548156338,23012.7083415266,23107.9565925844,22795.4488576612,22810.7749240924,23019.2557426695,23023.1197800625,23414.2190743533,22510.4040791872,23234.7120724362
BHS,31860.019444984,29932.8686356915,28183.8759747191,27663.2532501201,27968.2146739019,28651.3190216426,29334.6625904956,30822.1880608686,28946.2785128447,31982.7608363001,32823.8057615441,33214.1687471534,33665.5703373572,32799.1368606842,32645.1248475179,33295.9327364828,33663.5489216373,33672.9712442862,32425.5880814475,30627.3378646027,30664.0259200128,30470.2483679619,31072.8456658632,29902.2434249107,30182.1943265257,30206.2404347372,29699.1855975451,30371.580984382,30705.6019729505,31082.8060960243,23566.5753253459,26705.5660079272
BLR,2890.5241663884,2854.52075070743,2574.82385165248,2373.89052136425,2098.62426279529,1886.47742528651,1945.83894756242,2176.69235022362,2370.18646740428,2461.82685103912,2616.91299263359,2754.66446971789,2912.12336094185,3139.12098642967,3522.48985117687,3880.01436974552,4294.22867163526,4684.98029099754,5180.71234438981,5203.85488670206,5621.93717466556,5938.22068048537,6047.87112888287,6110.90466736341,6212.91277243518,5967.05220384914,5811.19794357554,5964.89294392711,6165.90933024502,6264.86096486176,6247.43190947199,6418.23763437028
BLZ,4185.20749157251,4567.64727965389,5014.29769522737,5220.64558955249,5119.19276233379,5021.86730786347,4921.5287708972,4927.02998072833,4943.16082019784,5204.56480989139,5693.74148475752,5795.34553101308,5903.97893331935,6259.03891565886,6353.22739059713,6301.91586494332,6400.18143804516,6421.95513794371,6148.52280105791,5955.11103840026,5881.38223686405,5742.67020585985,5831.15884796355,5960.36040094913,6069.46147957835,6142.47883269283,6024.83594539496,5806.06544944251,5756.8522488581,5907.34887238917,5040.12252132539,5733.35261087401
BOL,1687.442722078,1739.85460799705,1732.73911380019,1770.77689658564,1817.47340033897,1866.65293040127,1912.00225708292,1970.16807914778,2031.97220347994,2003.86130600298,2017.39460626351,2015.3774770883,2029.61794138246,2048.55981521756,2097.25835078212,2152.36196728204,2216.54470624917,2277.50382352252,2376.07808664035,2414.12994254411,2471.47362991957,2556.8302664893,2643.69081327625,2777.72052916476,2882.80689276903,2975.64881137847,3054.89254678859,3135.03164388911,3219.20088567555,3242.94884340563,2920.19744316688,3061.7386096362
BRA,6086.08487029556,6043.43990026094,5911.69413084856,6103.38455349758,6358.68643258731,6524.52669793585,6567.36035682375,6689.20741912308,6613.99113295669,6551.2345477737,6745.8658812468,6749.88971898625,6868.70416532586,6865.18150461494,7178.35611584129,7325.91235843215,7534.55155911426,7909.83475750883,8231.1102691656,8142.77083855301,8673.9088122477,8935.28805708641,9025.32484753836,9216.14336043625,9183.4707680256,8783.22598387817,8426.85335245502,8470.95078857257,8553.87618653936,8592.22153753537,8204.20272600881,8537.93922013226
