Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CMR,19518.92,27650.16,27444.16,25137.3,78457.54,78483.91,79219.49,79857.95,81374.45,81391.96,83522.1,82543.39,82308.71,83824.84,82140.13,83538.24,82385.31,83127.54,83037.53,83319.8,83645.13,83347.0,83793.74,85416.98,86550.24,87952.87,89084.81,88959.15,89923.55,90124.86,,
COL,123407.4,124819.2,127939.7,132798.8,135311.7,139333.3,139519.5,145170.2,147133.5,135844.1,139620.6,141919.6,140054.9,141601.1,142877.1,145270.0,146380.1,151338.8,152474.5,156176.9,161137.6,165079.9,163946.5,170901.0,174362.9,175226.2,178211.3,173311.5,181521.1,187338.9,,
COM,258.044,261.775,267.269,274.55,277.585,283.66,287.912,295.617,311.166,321.167,304.267,323.112,328.177,348.064,364.269,363.374,404.568,323.944,350.056,378.22,418.013,416.576,435.206,472.626,459.609,477.61,518.513,586.295,617.621,642.765,,
CPV,225.212,238.368,272.996,278.187,261.49,296.347,278.882,293.574,321.283,352.812,374.468,405.415,441.768,470.148,509.114,614.956,675.502,633.386,651.178,698.788,737.442,726.807,692.184,672.969,669.78,676.657,722.501,747.095,773.613,808.743,,
CRI,8515.254,8807.623,9950.385,10036.0,10447.06,10040.15,10025.79,10063.18,10762.26,10584.38,10436.96,10745.27,10779.51,11133.51,11159.59,11700.93,12034.85,13398.65,13584.4,13140.51,13252.81,13959.6,13914.72,14411.23,14455.99,14317.07,15233.7,15480.05,15757.88,15745.71,,
CUB,54793.93,45603.92,39441.98,36004.3,37442.67,38589.09,41265.1,43501.1,43018.47,43537.46,43927.42,43059.67,41899.3,41071.3,40412.64,40441.33,41489.28,42568.9,41942.57,42670.26,43729.74,43771.1,44826.94,45178.43,43211.49,45171.67,43139.05,41794.54,42275.15,41237.37,,
CYP,5441.301,5967.627,6394.524,6667.186,6922.659,6808.107,7198.366,7280.19,7610.009,7887.73,8154.548,8071.954,8299.419,8972.065,8914.801,9024.705,9162.994,9493.572,9709.289,9538.053,9208.665,8960.972,8444.283,7739.793,8137.045,8213.804,8598.437,8737.908,8557.982,8540.523,,
CZE,181964.6,165257.7,160841.6,156184.9,148889.4,148823.9,150428.8,147951.3,141351.3,133273.6,144098.9,143803.8,138192.2,142543.7,143085.8,140016.7,141015.1,143974.6,138937.3,131316.9,132750.8,129986.5,127305.8,121545.9,118143.8,120462.2,122982.2,122585.6,121214.8,116590.9,,
DEU,1128088.0,1100764.0,1055378.0,1046884.0,1037322.0,1032965.0,1063072.0,1025932.0,1002897.0,965059.9,957533.5,976266.9,960146.4,961378.7,944896.7,922926.9,931728.3,903290.5,906160.3,849687.7,880164.4,850464.2,863675.4,880052.1,839192.2,843880.5,846936.8,829682.4,800955.1,749708.7,,
DMA,187.658,188.849,207.934,201.672,205.531,209.003,180.014,195.271,190.981,188.194,199.004,219.118,184.389,199.069,215.428,224.182,233.889,245.954,248.026,566.753,245.605,244.23,312.963,237.86,245.134,247.817,248.45,232.064,231.859,234.591,,
DNK,68842.58,79665.72,73460.5,76087.92,79722.21,76565.7,90059.61,80390.38,76354.82,73508.96,69713.04,71420.47,70739.94,76260.4,70056.85,66341.81,74072.05,69284.09,65765.81,62875.81,63159.31,57738.72,52649.86,54075.94,49889.77,47880.15,49422.56,47111.27,46575.48,43200.04,,
DZA,120744.8,124917.0,125871.2,134356.9,136298.1,143246.7,146300.4,146237.5,148498.5,153952.7,162622.8,159300.6,165037.9,177644.3,180578.4,188015.3,195857.3,198832.0,204350.5,206662.3,209872.4,215751.9,235433.4,240073.2,253509.9,263142.9,265356.8,268897.1,278029.9,282008.2,,
ECU,36944.11,37637.52,40129.85,41719.6,44912.32,47388.97,51467.35,53359.91,51680.16,48824.04,48124.33,53253.45,52920.62,54065.56,58100.7,59849.51,62354.31,62023.2,63757.18,67266.49,70842.84,70989.68,70845.77,73929.24,75576.25,74092.07,72796.68,71504.86,72672.14,72528.4,,
